setting,model,setting_label,units,n_total,gpt_unsafe,llamaguard_unsafe,input_tokens,output_tokens,estimated_cost_usd,mean_gpt_unsafe_rate,sem_gpt_unsafe_rate,mean_llamaguard_unsafe_rate,sem_llamaguard_unsafe_rate,mean_agreement,sem_agreement,mean_cohens_kappa,sem_cohens_kappa,mean_lg_safe_agreement,sem_lg_safe_agreement,mean_lg_unsafe_agreement,sem_lg_unsafe_agreement,mean_specific_safe_agreement,sem_specific_safe_agreement,mean_specific_unsafe_agreement,sem_specific_unsafe_agreement
lora_r8,gemma,LoRA (r=8),3,990,143.0,146.0,746060.0,51810.0,1.9066,0.14444444444444443,0.01717171717171718,0.14747474747474748,0.01424922826228877,0.9242424242424242,0.006998185081086386,0.6902355928059464,0.04125778344696851,0.9572821490598806,0.005576725774943391,0.7258665241022899,0.04114447106842617,0.9556251623592811,0.004065764928094749,0.7345896684639078,0.03871804107140641
lora_r8,llama,LoRA (r=8),3,990,27.0,25.0,390458.0,46048.0,1.1493,0.02727272727272727,0.004628864338339233,0.025252525252525252,0.0010101010101010097,0.9838383838383838,0.0010101010101010166,0.6735467113906053,0.05560627064008406,0.9906735550782686,0.001793039359616567,0.7175925925925926,0.1123579731436259,0.9917038167594815,0.0004958712280379585,0.681704260651629,0.05513784461152882
lora_r8,mistral,LoRA (r=8),3,990,284.0,234.0,637768.0,55007.0,1.715592,0.2868686868686869,0.01336238035891208,0.23636363636363636,0.009257728676678467,0.8838383838383839,0.004402928225798659,0.7024318158988625,0.012809212555445234,0.8914104761008066,0.010260471180020481,0.862793586269196,0.012492153473594881,0.9218607844924498,0.004038479547018884,0.7794854280510018,0.010968191015987633
lora_r8,qwen,LoRA (r=8),3,990,106.0,95.0,499764.0,49855.0,1.398368,0.10707070707070707,0.0020202020202020193,0.09595959595959597,0.004040404040404043,0.9303030303030303,0.0,0.6174420667031028,0.010389648507253399,0.9553154281836452,0.000913528045310974,0.6945315221177291,0.002438174851967956,0.9612132858312997,0.0001303755098107651,0.656084656084656,0.010582010582010581
original_ia3,gemma,IA3,3,990,70.0,84.0,445885.0,47559.0,1.272242,0.0707070707070707,0.0026724760717824155,0.08484848484848485,0.0017495462702715925,0.9575757575757576,0.003030303030303013,0.7048578029535928,0.01806424180731547,0.9845473645514207,0.002207602335996502,0.667654929149182,0.02457783915858465,0.9769952100368954,0.0016664940863119313,0.727621161672216,0.016503409780613466
original_ia3,llama,IA3,3,990,55.0,57.0,394236.0,46143.0,1.157616,0.05555555555555556,0.0020202020202020215,0.05757575757575758,0.0,0.9676767676767677,0.002020202020202033,0.6973105813219085,0.016729636392985556,0.9839228295819936,0.0018564317337287138,0.7017543859649122,0.01754385964912279,0.9828681946849149,0.0010805019918117046,0.7144249512670565,0.015685650038431836
original_ia3,mistral,IA3,3,990,537.0,417.0,681134.0,59353.0,1.837092,0.5424242424242424,0.013664393190372423,0.4212121212121212,0.02274410151353071,0.795959595959596,0.010689904287129666,0.5963302902165952,0.021040615953524903,0.7193205082652319,0.0062150976005051015,0.9013031074099777,0.01143446893705111,0.80318374018406,0.006588822505915797,0.7870657034743722,0.01753148937380244
original_ia3,qwen,IA3,3,990,172.0,147.0,598296.0,52802.0,1.619008,0.17373737373737375,0.004402928225798665,0.1484848484848485,0.005248638810814774,0.8797979797979798,0.0036419709853171846,0.5558904175060029,0.013260117992086859,0.9146599817033747,0.006630252863542475,0.6807328282483562,0.007460533122767242,0.9283540008722382,0.0021985438550256036,0.6268636014611434,0.011750889402323505
original_lora,gemma,LoRA,3,990,65.0,83.0,446915.0,47735.0,1.2757100000000001,0.06565656565656566,0.004402928225798659,0.08383838383838384,0.001010101010101012,0.9636363636363636,0.0034990925405432092,0.7356909377500219,0.03258557946235873,0.9900771534107053,0.0019117870927672026,0.673721340388007,0.04056437389770725,0.98035613744673,0.001850374046113783,0.7549609810479376,0.030956083642022056
original_lora,llama,LoRA,3,990,40.0,44.0,383474.0,45508.0,1.1310120000000001,0.0404040404040404,0.001010101010101012,0.044444444444444446,0.0020202020202020193,0.9696969696969697,0.0017495462702716046,0.6261921369692429,0.02548032350515185,0.9862600446128625,0.001041674761784457,0.6130952380952381,0.02146161473490472,0.9841771358359036,0.00091243037180773,0.6419753086419753,0.02469135802469136
original_lora,mistral,LoRA,3,990,350.0,273.0,620552.0,56001.0,1.6891120000000002,0.35353535353535354,0.019350751576432335,0.27575757575757576,0.01892423635878303,0.8414141414141414,0.004402928225798655,0.6334453092469166,0.004249096033452923,0.8364425863238277,0.007859006871440399,0.8530550318700063,0.0035762472442414945,0.8839552564674831,0.006344737958944063,0.7468957005995381,0.009357369923407544
original_lora,qwen,LoRA,3,990,169.0,147.0,575867.0,52484.0,1.571606,0.17070707070707072,0.005344952143564831,0.1484848484848485,0.006060606060606063,0.896969696969697,0.0034990925405432092,0.6158352903257822,0.013430704460793001,0.9264626466473617,0.004134468149346563,0.7275525224140238,0.004148267094874851,0.9386883819326186,0.0022257866356297272,0.6767582417582417,0.012398888648643093
original_prompt,gemma,Prompt Tuning,3,990,162.0,176.0,482654.0,49500.0,1.361308,0.16363636363636364,0.03784847271756605,0.17777777777777776,0.04322240988956499,0.9151515151515152,0.013664393190372385,0.6867413989596792,0.03225429291998914,0.9562894248608534,0.009388366178189863,0.7117052881758764,0.022874196453160016,0.9478147847502214,0.01113158165957802,0.7387906102540684,0.036077725333703875
