scope,label,n_total,lg_safe_gpt_unsafe_b,lg_unsafe_gpt_safe_c,discordant_total,discordant_rate,gpt_unsafe_rate,llamaguard_unsafe_rate,unsafe_rate_diff_gpt_minus_lg,mcnemar_chi2_uncorrected,mcnemar_phi_total_n,discordant_imbalance_index,matched_pair_odds_ratio_b_over_c,mcnemar_exact_p,direction
overall,Overall,19800,1094,905,1999,0.10095959595959596,0.22393939393939394,0.2143939393939394,0.009545454545454546,17.86943471735868,0.030041582895994397,0.0945472736368184,1.208839779005525,2.578774839522719e-05,GPT more unsafe
setting,IA3,3960,262,133,395,0.09974747474747475,0.2106060606060606,0.17803030303030304,0.03257575757575758,42.129113924050635,0.1031439049693971,0.3265822784810127,1.9699248120300752,8.162181485601106e-11,GPT more unsafe
setting,LoRA,3960,201,124,325,0.08207070707070707,0.15757575757575756,0.13813131313131313,0.019444444444444445,18.243076923076924,0.06787368861965296,0.23692307692307693,1.6209677419354838,2.293465472572521e-05,GPT more unsafe
setting,LoRA (r=8),3960,167,107,274,0.0691919191919192,0.1414141414141414,0.12626262626262627,0.015151515151515152,13.138686131386862,0.05760078153270579,0.21897810218978103,1.560747663551402,0.0003472614232254552,GPT more unsafe
setting,Prompt Tuning,3960,271,283,554,0.1398989898989899,0.2851010101010101,0.2881313131313131,-0.0030303030303030303,0.259927797833935,0.008101748748655886,0.021660649819494584,0.9575971731448764,0.6402923471454626,LLaMA-Guard more unsafe
setting,P-Tuning,3960,193,258,451,0.11388888888888889,0.325,0.3414141414141414,-0.016414141414141416,9.368070953436806,0.04863819983501767,0.14412416851441243,0.748062015503876,0.002543018592881982,LLaMA-Guard more unsafe
model,Mistral,4950,563,290,853,0.17232323232323232,0.48747474747474745,0.43232323232323233,0.05515151515151515,87.3728018757327,0.1328573335800723,0.32004689331770225,1.9413793103448276,5.769921372980073e-21,GPT more unsafe
model,LLaMA,4950,109,201,310,0.06262626262626263,0.07797979797979798,0.09656565656565656,-0.018585858585858588,27.303225806451614,0.07426845355346069,0.2967741935483871,0.5422885572139303,1.9364078809186396e-07,LLaMA-Guard more unsafe
model,Gemma,4950,129,200,329,0.06646464646464646,0.1391919191919192,0.15353535353535352,-0.014343434343434344,15.322188449848024,0.05563624363694861,0.21580547112462006,0.645,0.00010748928861477998,LLaMA-Guard more unsafe
model,Qwen,4950,293,214,507,0.10242424242424242,0.19111111111111112,0.17515151515151514,0.01595959595959596,12.309664694280078,0.04986783480701172,0.15581854043392504,1.3691588785046729,0.0005196477712348739,GPT more unsafe
