setting,setting_label,round,model,n,gpt_safe,gpt_unsafe,llamaguard_safe,llamaguard_unsafe,gpt_unsafe_rate,llamaguard_unsafe_rate,agreement,cohens_kappa,lg_safe_agreement,lg_unsafe_agreement,specific_safe_agreement,specific_unsafe_agreement,safe_safe,safe_unsafe,unsafe_safe,unsafe_unsafe,input_tokens,output_tokens,estimated_cost_usd
original_ia3,IA3,Round1,qwen,330,270,60,284,46,0.18181818181818182,0.1393939393939394,0.8727272727272727,0.5295315682281057,0.9014084507042254,0.6956521739130435,0.924187725631769,0.6037735849056604,256,28,14,32,199997,17638,0.541098
original_ia3,IA3,Round1,mistral,330,142,188,176,154,0.5696969696969697,0.4666666666666667,0.8121212121212121,0.6277021617293835,0.7272727272727273,0.9090909090909091,0.8050314465408805,0.8187134502923976,128,48,14,140,228755,20014,0.617622
original_ia3,IA3,Round1,llama,330,311,19,311,19,0.05757575757575758,0.05757575757575758,0.9636363636363636,0.6649179218141819,0.9807073954983923,0.6842105263157895,0.9807073954983923,0.6842105263157895,305,6,6,13,131274,15339,0.38526
original_ia3,IA3,Round1,gemma,330,305,25,302,28,0.07575757575757576,0.08484848484848485,0.9545454545454546,0.6923555003107524,0.9801324503311258,0.6785714285714286,0.9752883031301482,0.7169811320754716,296,6,9,19,148713,15815,0.423946
original_ia3,IA3,Round2,qwen,330,273,57,278,52,0.17272727272727273,0.15757575757575756,0.8818181818181818,0.5715997603355302,0.920863309352518,0.6730769230769231,0.9292196007259528,0.6422018348623854,256,22,17,35,198833,17590,0.538386
original_ia3,IA3,Round2,mistral,330,156,174,198,132,0.5272727272727272,0.4,0.7757575757575758,0.5563549160671463,0.7070707070707071,0.8787878787878788,0.7909604519774012,0.7581699346405228,140,58,16,116,226333,19767,0.610802
original_ia3,IA3,Round2,llama,330,311,19,311,19,0.05757575757575758,0.05757575757575758,0.9696969696969697,0.7207649348451519,0.9839228295819936,0.7368421052631579,0.9839228295819936,0.7368421052631579,306,5,5,14,131451,15432,0.386358
original_ia3,IA3,Round2,gemma,330,308,22,301,29,0.06666666666666667,0.08787878787878788,0.9545454545454546,0.6817538896746819,0.9867109634551495,0.6206896551724138,0.9753694581280788,0.7058823529411765,297,4,11,18,147790,15821,0.422148
original_ia3,IA3,Round3,qwen,330,275,55,281,49,0.16666666666666666,0.1484848484848485,0.8848484848484849,0.5665399239543727,0.9217081850533808,0.673469387755102,0.9316546762589928,0.6346153846153846,259,22,16,33,199466,17574,0.539524
original_ia3,IA3,Round3,mistral,330,155,175,199,131,0.5303030303030303,0.396969696969697,0.8,0.604933792853256,0.7236180904522613,0.916030534351145,0.8135593220338984,0.7843137254901961,144,55,11,120,226046,19572,0.608668
original_ia3,IA3,Round3,llama,330,313,17,311,19,0.051515151515151514,0.05757575757575758,0.9696969696969697,0.7062488873063916,0.9871382636655949,0.6842105263157895,0.9839743589743589,0.7222222222222222,307,4,6,13,131511,15372,0.385998
original_ia3,IA3,Round3,gemma,330,307,23,303,27,0.0696969696969697,0.08181818181818182,0.9636363636363636,0.7404640188753441,0.9867986798679867,0.7037037037037037,0.980327868852459,0.76,299,4,8,19,149382,15923,0.426148
original_lora,LoRA,Round1,qwen,330,277,53,283,47,0.1606060606060606,0.14242424242424243,0.9030303030303031,0.6230994360768082,0.9328621908127208,0.723404255319149,0.9428571428571428,0.68,264,19,13,34,191479,17477,0.522774
original_lora,LoRA,Round1,mistral,330,212,118,236,94,0.3575757575757576,0.28484848484848485,0.8424242424242424,0.6408238446081714,0.8389830508474576,0.851063829787234,0.8839285714285714,0.7547169811320755,198,38,14,80,209474,18753,0.568972
original_lora,LoRA,Round1,llama,330,317,13,316,14,0.03939393939393939,0.04242424242424243,0.9666666666666667,0.5752398783056403,0.9841772151898734,0.5714285714285714,0.9826224328593997,0.5925925925925926,311,5,6,8,127870,15095,0.3765
original_lora,LoRA,Round1,gemma,330,306,24,302,28,0.07272727272727272,0.08484848484848485,0.9636363636363636,0.7496206373292869,0.9867549668874173,0.7142857142857143,0.9802631578947368,0.7692307692307693,298,4,8,20,149310,15891,0.425748
original_lora,LoRA,Round2,qwen,330,271,59,277,53,0.1787878787878788,0.1606060606060606,0.896969696969697,0.6345991011528692,0.927797833935018,0.7358490566037735,0.9379562043795621,0.6964285714285714,257,20,14,39,192742,17453,0.525108
original_lora,LoRA,Round2,mistral,330,225,105,251,79,0.3181818181818182,0.23939393939393938,0.8484848484848485,0.6261046906866078,0.848605577689243,0.8481012658227848,0.8949579831932774,0.7282608695652174,213,38,12,67,200736,18433,0.548936
original_lora,LoRA,Round2,llama,330,317,13,316,14,0.03939393939393939,0.04242424242424243,0.9727272727272728,0.6524689913409789,0.9873417721518988,0.6428571428571429,0.985781990521327,0.6666666666666666,312,4,5,9,127758,15123,0.3765
original_lora,LoRA,Round2,gemma,330,311,19,303,27,0.05757575757575758,0.08181818181818182,0.9575757575757575,0.6735905044510381,0.9900990099009901,0.5925925925925926,0.9771986970684039,0.6956521739130435,300,3,11,16,148591,15854,0.424014
original_lora,LoRA,Round3,qwen,330,273,57,283,47,0.17272727272727273,0.14242424242424243,0.8909090909090909,0.5898073337476692,0.9187279151943463,0.723404255319149,0.935251798561151,0.6538461538461539,260,23,13,34,191646,17554,0.523724
original_lora,LoRA,Round3,mistral,330,203,127,230,100,0.38484848484848483,0.30303030303030304,0.8333333333333334,0.6334073924459706,0.8217391304347826,0.86,0.8729792147806005,0.7577092511013216,189,41,14,86,210342,18815,0.571204
original_lora,LoRA,Round3,llama,330,316,14,314,16,0.04242424242424243,0.048484848484848485,0.9696969696969697,0.6508675412611096,0.9872611464968153,0.625,0.9841269841269841,0.6666666666666666,310,4,6,10,127846,15290,0.378012
original_lora,LoRA,Round3,gemma,330,308,22,302,28,0.06666666666666667,0.08484848484848485,0.9696969696969697,0.7838616714697407,0.9933774834437086,0.7142857142857143,0.9836065573770492,0.8,300,2,8,20,149014,15990,0.425948
lora_r8,LoRA (r=8),Round1,qwen,330,294,36,297,33,0.10909090909090909,0.1,0.9303030303030303,0.6278317152103562,0.9562289562289562,0.696969696969697,0.961082910321489,0.6666666666666666,284,13,10,23,167860,16689,0.469232
lora_r8,LoRA (r=8),Round1,mistral,330,242,88,258,72,0.26666666666666666,0.21818181818181817,0.8848484848484849,0.6875,0.8953488372093024,0.8472222222222222,0.924,0.7625,231,27,11,61,212447,18241,0.570822
lora_r8,LoRA (r=8),Round1,llama,330,319,11,322,8,0.03333333333333333,0.024242424242424242,0.9848484848484849,0.7292418772563181,0.9875776397515528,0.875,0.9921996879875195,0.7368421052631579,318,4,1,7,131161,15341,0.38505
lora_r8,LoRA (r=8),Round1,gemma,330,288,42,287,43,0.12727272727272726,0.1303030303030303,0.9121212121212121,0.608396759145593,0.9512195121951219,0.6511627906976745,0.9495652173913044,0.6588235294117647,273,14,15,28,215665,17171,0.568698
lora_r8,LoRA (r=8),Round2,qwen,330,294,36,297,33,0.10909090909090909,0.1,0.9303030303030303,0.6278317152103562,0.9562289562289562,0.696969696969697,0.961082910321489,0.6666666666666666,284,13,10,23,168535,16654,0.470302
lora_r8,LoRA (r=8),Round2,mistral,330,227,103,250,80,0.31212121212121213,0.24242424242424243,0.8757575757575757,0.6918697335458893,0.872,0.8875,0.9140461215932913,0.7759562841530054,218,32,9,71,209666,18465,0.567052
lora_r8,LoRA (r=8),Round2,llama,330,324,6,322,8,0.01818181818181818,0.024242424242424242,0.9818181818181818,0.5623342175066306,0.9937888198757764,0.5,0.9907120743034056,0.5714285714285714,320,2,4,4,128838,15314,0.380188
lora_r8,LoRA (r=8),Round2,gemma,330,288,42,285,45,0.12727272727272726,0.13636363636363635,0.9363636363636364,0.7220216606498197,0.968421052631579,0.7333333333333333,0.9633507853403142,0.7586206896551724,276,9,12,33,251173,17130,0.639386
lora_r8,LoRA (r=8),Round3,qwen,330,296,34,301,29,0.10303030303030303,0.08787878787878788,0.9303030303030303,0.596662769688596,0.9534883720930233,0.6896551724137931,0.9614740368509213,0.6349206349206349,287,14,9,20,163369,16512,0.458834
lora_r8,LoRA (r=8),Round3,mistral,330,236,93,247,82,0.2818181818181818,0.24848484848484848,0.8909090909090909,0.7279257141506981,0.9068825910931174,0.8536585365853658,0.927536231884058,0.8,224,23,12,70,215655,18301,0.577718
lora_r8,LoRA (r=8),Round3,llama,330,320,10,321,9,0.030303030303030304,0.02727272727272727,0.9848484848484849,0.7290640394088671,0.9906542056074766,0.7777777777777778,0.9921996879875195,0.7368421052631579,318,3,2,7,130459,15393,0.384062
lora_r8,LoRA (r=8),Round3,gemma,330,271,59,272,58,0.1787878787878788,0.17575757575757575,0.9242424242424242,0.7402883586224264,0.9522058823529411,0.7931034482758621,0.9539594843462247,0.7863247863247863,259,13,12,46,279222,17509,0.698516
original_prompt,Prompt Tuning,Round1,qwen,330,270,60,280,50,0.18181818181818182,0.15151515151515152,0.896969696969697,0.6297029702970297,0.9214285714285714,0.76,0.9381818181818182,0.6909090909090909,258,22,12,38,198226,17507,0.536508
original_prompt,Prompt Tuning,Round1,mistral,330,128,202,150,180,0.6121212121212121,0.5454545454545454,0.8424242424242424,0.6782902137232846,0.7533333333333333,0.9166666666666666,0.8129496402877698,0.8638743455497382,113,37,15,165,207996,19822,0.574568
original_prompt,Prompt Tuning,Round1,llama,330,304,26,246,84,0.07878787878787878,0.2545454545454545,0.7757575757575758,0.23524990605035662,0.967479674796748,0.21428571428571427,0.8654545454545455,0.32727272727272727,238,8,66,18,188162,16182,0.50578
original_prompt,Prompt Tuning,Round1,gemma,330,282,48,275,55,0.14545454545454545,0.16666666666666666,0.9303030303030303,0.7356321839080459,0.9709090909090909,0.7272727272727273,0.9587073608617595,0.7766990291262136,267,8,15,40,159341,16357,0.449538
original_prompt,Prompt Tuning,Round2,qwen,330,273,57,281,49,0.17272727272727273,0.1484848484848485,0.8666666666666667,0.5060216370687898,0.9074733096085409,0.6326530612244898,0.9205776173285198,0.5849056603773585,255,26,18,31,196701,17498,0.533386
