model,model_name,peft_method,setting_value,delta_safe_ratio,delta_accuracy_ambig,delta_accuracy_disambig,delta_bias_score_amb_abs,delta_bias_score_dis_abs
gemma,gemma-7b-it,lora,r4,-0.3027272700000006,0.0048710842361635,-0.001259763164525,-0.0019360503937564,-0.0009673586750021
llama,Meta-Llama-3-8B-Instruct,lora,r4,1.6166666666666742,-0.1240026874947509,-0.0055009658184261,0.0057981243890574,0.0060791103565581
mistral,Mistral-7B-Instruct-v0.3,lora,r4,17.172424243333335,-0.1101452926849752,0.0082724447803812,0.0191057826474862,-0.0039482561199693
qwen,Qwen2.5-7B-Instruct,lora,r4,1.2142424233333318,-0.0067187368774668,0.0075165868816661,0.0044511631813218,-0.0011365326819951
gemma,,lora,r8,-6.870202017474739,-0.1015789031662047,-0.1135886453346771,-0.0465345815238782,0.0126736049016836
llama,,lora,r8,3.5347474747474763,-0.1023767531704039,-0.0655496766607877,-0.0054416811206364,0.0398436112643374
mistral,,lora,r8,21.212727273636375,-0.0401864449483496,-0.1454186612916772,-0.0484175229710574,0.0373682099122455
qwen,,lora,r8,6.464949494040397,-0.0523641555387587,0.0328798185941042,0.0312001343747375,0.0080213865639897
gemma,,lora,r16,-5.759090906363639,-0.099899218946838,-0.1161921558746955,-0.0502800221154358,0.0158560545695509
llama,,lora,r16,3.433737373737386,-0.1216091374821533,-0.0520282186948855,0.0054930256729404,0.037319527428742
mistral,,lora,r16,24.54606060696969,0.0349794238683127,-0.1889644746787604,-0.0597572692429729,0.0432940615401885
qwen,,lora,r16,6.161919191010099,-0.0553036029226505,0.0329638028050726,0.0329638028050726,0.0091467683425426
gemma,gemma-7b-it,prompt,v20,-9.19272727,-0.1017888636936256,-0.3468967834047199,-0.1372122229358835,-0.0129422108183269
mistral,Mistral-7B-Instruct-v0.3,prompt,v20,-10.200909089999998,-0.1871168220374569,-0.0203241790543377,0.021728657545259,0.011687002709689
qwen,Qwen2.5-7B-Instruct,prompt,v20,0.6075757566666624,0.0082724447803813,-0.0067607289829511,-0.0053329973964894,-0.0021173141655587
gemma,,prompt,v50,-11.51666666393939,-0.1865289325606786,-0.3773830519862266,-0.1123693877834384,0.0149538505651193
llama,,prompt,v50,-10.202626262626254,-0.4960107499790039,-0.1262702611908961,-0.0133534895439656,0.0472120769366947
mistral,,prompt,v50,-15.958989898080802,-0.3864953388762913,-0.0252372553959854,0.0453037222085749,0.0063335362571819
qwen,,prompt,v50,5.050808079898985,0.0026874947509868,-0.0107499790039471,-0.0029394473838918,0.0060575392892285
gemma,,prompt,v100,-20.708585855858573,-0.1698580666834634,-0.6335348954396574,-0.1927923818313999,-0.0335842982727708
llama,,prompt,v100,-15.455151515151512,-0.568363147728227,-0.2239438985470732,-0.0484168976232467,0.0290638735668108
mistral,,prompt,v100,-23.02969696878787,-0.5731922398589065,-0.1033425715965399,-0.0018617369306239,0.0102384701839965
qwen,,prompt,v100,6.565959595050501,-0.0006718736877467,-0.0123876711178297,-0.0008398421096833,0.0074284670136229
gemma,gemma-7b-it,ptuning,v20,-18.689393936666665,-0.0896531452087008,-0.3276224069874863,-0.1235863601566124,-0.0018798332270736
llama,Meta-Llama-3-8B-Instruct,ptuning,v20,-2.423333333333332,-0.2973880910388846,-0.0106240026874947,0.0399764542943904,0.0263681029894637
mistral,Mistral-7B-Instruct-v0.3,ptuning,v20,-23.13090909,-0.2481733434114386,-0.0411102712690014,0.026092146560676,0.0438362464312405
qwen,Qwen2.5-7B-Instruct,ptuning,v20,-16.769090910000006,-0.2268413538254807,-0.0039472579155118,0.0513767845380008,0.0156632058967535
gemma,,ptuning,v50,-6.466161613434352,-0.0252792475014697,-0.406063660031914,-0.1565403275073734,0.0045292318007617
llama,,ptuning,v50,-20.00060606060606,-0.4803476946334089,-0.2329302091206853,-0.0227098321061587,0.0332776773662226
mistral,,ptuning,v50,27.475353536262617,-0.1304274796338288,-0.162761400856639,-0.026622451633929,0.0615803123908279
qwen,,ptuning,v50,8.081111110202016,-0.3242630385487529,0.0316620475350635,0.0971182068345389,0.024628880632652
gemma,,ptuning,v100,-5.254040401313134,-0.0432938607541782,-0.4428067523305619,-0.1660775093870831,-0.0060613902265578
llama,,ptuning,v100,-15.354141414141424,-0.3813723020072226,-0.1394137902074409,-0.0217499572627318,0.0541866803008763
mistral,,ptuning,v100,24.84909091,-0.1355085243974133,-0.1632653061224489,-0.0223687226995359,0.0554703676859833
qwen,,ptuning,v100,5.959898988989892,-0.3301839254220207,0.0224237843285461,0.0913431121941782,0.025802851229784
