model,model_name,peft_method,setting,setting_value,source,safe_ratio,safety_score,accuracy_ambig,accuracy_disambig,bias_score_amb_abs,bias_score_dis_abs,delta_safe_ratio,delta_accuracy_ambig,delta_accuracy_disambig,delta_bias_score_amb_abs,delta_bias_score_dis_abs
gemma,gemma-7b-it,lora,lora,r4,corrected_ultrafeedback_reference_mean,0.9181999999999999,91.82,0.2813890988494163,0.872260015117158,0.2260380176417003,0.07722517570613736,-0.30272727000000066,0.0048710842361635665,-0.0012597631645250666,-0.0019360503937564998,-0.0009673586750021667
llama,Meta-Llama-3-8B-Instruct,lora,lora,r4,corrected_ultrafeedback_reference_mean,0.9555666666666667,95.55666666666667,0.4500713865793231,0.8983791047283111,0.16918940682795888,0.05457917643294253,1.6166666666666742,-0.12400268749475092,-0.005500965818426133,0.005798124389057466,0.006079110356558167
mistral,Mistral-7B-Instruct-v0.3,lora,lora,r4,corrected_ultrafeedback_reference_mean,0.7232333333333334,72.32333333333334,0.5512303686906862,0.8349290333417317,0.13282102964642642,0.06041321416914886,17.172424243333335,-0.1101452926849752,0.008272444780381201,0.019105782647486233,-0.003948256119969333
qwen,Qwen2.5-7B-Instruct,lora,lora,r4,corrected_ultrafeedback_reference_mean,0.8515333333333334,85.15333333333334,0.9428907365415302,0.8063324095070127,0.0324179054337784,0.053632698087235364,1.2142424233333318,-0.006718736877466834,0.007516586881666167,0.004451163181321867,-0.0011365326819951667
gemma,,lora,lora_r8,r8,revision2_sensitivity,0.8525252525252526,85.25252525252526,0.17493911144704796,0.7599311329470059,0.18143948651157862,0.09086613928282324,-6.870202017474739,-0.10157890316620474,-0.11358864533467716,-0.04653458152387821,0.012673604901683636
llama,,lora,lora_r8,r8,revision2_sensitivity,0.9747474747474748,97.47474747474747,0.4716973209036701,0.8383303938859495,0.157949601318265,0.0883436773407218,3.5347474747474763,-0.10237675317040396,-0.0655496766607877,-0.005441681120636449,0.03984361126433744
mistral,,lora,lora_r8,r8,revision2_sensitivity,0.7636363636363637,76.36363636363637,0.6211892164273117,0.6812379272696732,0.06529772402788275,0.10172968020136379,21.212727273636375,-0.040186444948349664,-0.14541866129167724,-0.04841752297105743,0.037368209912245584
qwen,,lora,lora_r8,r8,revision2_sensitivity,0.904040404040404,90.4040404040404,0.8972453178802385,0.8316956412194507,0.059166876627194075,0.06279061733322044,6.464949494040397,-0.05236415553875873,0.03287981859410427,0.031200134374737558,0.008021386563989763
gemma,,lora,lora_r16,r16,revision2_sensitivity,0.8636363636363636,86.36363636363636,0.1766187956664147,0.7573276224069875,0.177694045920021,0.0940485889506905,-5.759090906363639,-0.09989921894683801,-0.11619215587469556,-0.050280022115435835,0.0158560545695509
llama,,lora,lora_r16,r16,revision2_sensitivity,0.9737373737373738,97.37373737373738,0.4524649365919207,0.8518518518518517,0.16888430811184194,0.0858195935051264,3.4337373737373866,-0.12160913748215335,-0.0520282186948855,0.005493025672940494,0.03731952742874205
mistral,,lora,lora_r16,r16,revision2_sensitivity,0.7969696969696969,79.69696969696969,0.6963550852439742,0.6376921138825901,0.053957977755967224,0.10765553182930672,24.54606060696969,0.034979423868312765,-0.18896447467876043,-0.05975726924297296,0.043294061540188514
qwen,,lora,lora_r16,r16,revision2_sensitivity,0.901010101010101,90.1010101010101,0.8943058704963467,0.8317796254304191,0.060930545057529185,0.06391599911177333,6.161919191010099,-0.055303602922650574,0.032963802805072606,0.03296380280507267,0.009146768342542647
gemma,gemma-7b-it,prompt,prompt,v20,corrected_ultrafeedback_reference_mean,0.8292999999999999,82.92999999999999,0.17472915091962707,0.5266229948769631,0.09076184509957323,0.06525032356281267,-9.19272727,-0.10178886369362565,-0.3468967834047199,-0.13721222293588356,-0.012942210818326902
mistral,Mistral-7B-Instruct-v0.3,prompt,prompt,v20,corrected_ultrafeedback_reference_mean,0.44949999999999996,44.949999999999996,0.4742588393382044,0.8063324095070127,0.13544390454419916,0.07604847299880729,-10.200909089999998,-0.18711682203745697,-0.020324179054337737,0.021728657545259034,0.011687002709689032
qwen,Qwen2.5-7B-Instruct,prompt,prompt,v20,corrected_ultrafeedback_reference_mean,0.8454666666666667,84.54666666666667,0.9578819181993786,0.7920550936423952,0.02263374485596703,0.0526519166036718,0.6075757566666624,0.008272444780381333,-0.006760728982951166,-0.005332997396489433,-0.0021173141655587333
gemma,,prompt,prompt_v50,v50,revision2_sensitivity,0.806060606060606,80.60606060606061,0.08998908205257411,0.4961367262954564,0.11560468025201842,0.09314638494625897,-11.51666666393939,-0.1865289325606786,-0.3773830519862266,-0.11236938778343841,0.014953850565119373
llama,,prompt,prompt_v50,v50,revision2_sensitivity,0.8373737373737374,83.73737373737374,0.07806332409507012,0.7776098093558411,0.15003779289493577,0.0957121430130791,-10.202626262626254,-0.49601074997900396,-0.12627026119089613,-0.013353489543965674,0.047212076936694755
mistral,,prompt,prompt_v50,v50,revision2_sensitivity,0.39191919191919194,39.1919191919192,0.2748803224993701,0.8014193331653651,0.15901896920751513,0.07069500654630019,-15.958989898080802,-0.3864953388762913,-0.025237255395985425,0.04530372220857494,0.006333536257181985
qwen,,prompt,prompt_v50,v50,revision2_sensitivity,0.88989898989899,88.98989898989899,0.9522969681699841,0.7880658436213993,0.025027294868564698,0.06082677005845919,5.050808079898985,0.0026874947509868408,-0.010749979003947141,-0.002939447383891819,0.00605753928922851
gemma,,prompt,prompt_v100,v100,revision2_sensitivity,0.7141414141414142,71.41414141414143,0.10665994792978921,0.23998488284202568,0.035181686204056886,0.04460823610836876,-20.708585855858573,-0.16985806668346348,-0.6335348954396574,-0.19279238183139996,-0.03358429827277084
llama,,prompt,prompt_v100,v100,revision2_sensitivity,0.7848484848484848,78.48484848484848,0.005710926345846981,0.679936171999664,0.11497438481565465,0.07756393964319523,-15.455151515151513,-0.568363147728227,-0.2239438985470732,-0.04841689762324679,0.02906387356681088
mistral,,prompt,prompt_v100,v100,revision2_sensitivity,0.3212121212121212,32.121212121212125,0.08818342151675485,0.7233140169648106,0.11185351006831623,0.0745999404731148,-23.029696968787874,-0.5731922398589065,-0.10334257159653992,-0.0018617369306239556,0.010238470183996595
qwen,,prompt,prompt_v100,v100,revision2_sensitivity,0.905050505050505,90.5050505050505,0.9489375997312505,0.7864281515075167,0.027126900142773164,0.06219769778285363,6.565959595050501,-0.0006718736877467935,-0.01238767111782979,-0.000839842109683353,0.007428467013622951
gemma,gemma-7b-it,ptuning,ptuning,v20,corrected_ultrafeedback_reference_mean,0.7343333333333334,73.43333333333334,0.1868648694045519,0.5458973712941967,0.10438770787884433,0.07631270115406596,-18.689393936666665,-0.08965314520870081,-0.3276224069874863,-0.12358636015661247,-0.001879833227073634
llama,Meta-Llama-3-8B-Instruct,ptuning,ptuning,v20,corrected_ultrafeedback_reference_mean,0.9151666666666667,91.51666666666667,0.2766859830351894,0.8932560678592424,0.20336773673329178,0.07486816906584803,-2.423333333333332,-0.29738809103888464,-0.010624002687494733,0.0399764542943904,0.0263681029894637
mistral,Mistral-7B-Instruct-v0.3,ptuning,ptuning,v20,corrected_ultrafeedback_reference_mean,0.32020000000000004,32.02,0.41320231796422274,0.785546317292349,0.13980739355961616,0.10819771672035883,-23.13090909,-0.24817334341143868,-0.041110271269001464,0.026092146560676033,0.043836246431240566
qwen,Qwen2.5-7B-Instruct,ptuning,ptuning,v20,corrected_ultrafeedback_reference_mean,0.6717,67.17,0.7227681195935164,0.7948685647098346,0.07934352679045734,0.0704324366659842,-16.769090910000006,-0.22684135382548076,-0.003947257915511867,0.05137678453800084,0.015663205896753532
gemma,,ptuning,ptuning_v50,v50,revision2_sensitivity,0.8565656565656564,85.65656565656565,0.251238767111783,0.467456118249769,0.07143374052808336,0.0827217661819013,-6.466161613434352,-0.025279247501469704,-0.406063660031914,-0.15654032750737346,0.004529231800761702
llama,,ptuning,ptuning_v50,v50,revision2_sensitivity,0.7393939393939394,73.93939393939394,0.09372637944066516,0.670949861426052,0.14068145033274268,0.08177774344260702,-20.00060606060606,-0.48034769463340893,-0.2329302091206853,-0.02270983210615876,0.03327767736622267
mistral,,ptuning,ptuning_v50,v50,revision2_sensitivity,0.8262626262626261,82.62626262626262,0.5309481817418326,0.6638951877047115,0.08709279536501115,0.12594178267994618,27.475353536262617,-0.13042747963382884,-0.16276140085663904,-0.02662245163392904,0.06158031239082798
qwen,,ptuning,ptuning_v50,v50,revision2_sensitivity,0.9202020202020202,92.02020202020202,0.6253464348702443,0.83047787016041,0.1250849490869955,0.07939811140188269,8.081111110202016,-0.32426303854875294,0.03166204753506352,0.09711820683453898,0.024628880632652006
gemma,,ptuning,ptuning_v100,v100,revision2_sensitivity,0.8686868686868686,86.86868686868686,0.23322415385907447,0.43071302595112115,0.0618965586483737,0.0721311441545817,-5.254040401313134,-0.04329386075417824,-0.4428067523305619,-0.16607750938708313,-0.006061390226557897
llama,,ptuning,ptuning_v100,v100,revision2_sensitivity,0.7858585858585858,78.58585858585857,0.19270177206685143,0.7644662803392963,0.14164132517616962,0.10268674637726072,-15.354141414141424,-0.3813723020072226,-0.13941379020744094,-0.021749957262731823,0.054186680300876366
mistral,,ptuning,ptuning_v100,v100,revision2_sensitivity,0.7999999999999999,80.0,0.525867136978248,0.6633912824389016,0.0913465242994042,0.11983183797510155,24.84909091,-0.13550852439741334,-0.16326530612244894,-0.022368722699535992,0.055470367685983346
qwen,,ptuning,ptuning_v100,v100,revision2_sensitivity,0.8989898989898989,89.8989898989899,0.6194255479969766,0.8212396069538926,0.11930985444663476,0.08057208199901471,5.959898988989892,-0.3301839254220207,0.022423784328546192,0.09134311219417825,0.025802851229784027
